pokedex_number,name,date_published,generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_experience,percentage_male
1,Bulbasaur,1996,1,Normal,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,64.0,87.5
2,Ivysaur,1996,1,Normal,2,Grass,Poison,1.0,13.0,2,Overgrow,,Chlorophyll,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,142.0,87.5
3,Venusaur,1996,1,Normal,2,Grass,Poison,2.0,100.0,2,Overgrow,,Chlorophyll,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,236.0,87.5
3,Mega Venusaur,1996,1,Normal,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,281.0,87.5
4,Charmander,1996,1,Normal,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,62.0,87.5
5,Charmeleon,1996,1,Normal,1,Fire,,1.1,19.0,2,Blaze,,Solar Power,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,142.0,87.5
6,Charizard,1996,1,Normal,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,240.0,87.5
6,Mega Charizard X,1996,1,Normal,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,285.0,87.5
6,Mega Charizard Y,1996,1,Normal,2,Fire,Flying,1.7,100.5,1,Drought,,,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,285.0,87.5
7,Squirtle,1996,1,Normal,1,Water,,0.5,9.0,2,Torrent,,Rain Dish,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,63.0,87.5
8,Wartortle,1996,1,Normal,1,Water,,1.0,22.5,2,Torrent,,Rain Dish,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,142.0,87.5
9,Blastoise,1996,1,Normal,1,Water,,1.6,85.5,2,Torrent,,Rain Dish,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,239.0,87.5
9,Mega Blastoise,1996,1,Normal,1,Water,,1.6,101.1,1,Mega Launcher,,,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,284.0,87.5
10,Caterpie,1996,1,Normal,1,Bug,,0.3,2.9,2,Shield Dust,,Run Away,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,39.0,50.0
11,Metapod,1996,1,Normal,1,Bug,,0.7,9.9,1,Shed Skin,,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,72.0,50.0
12,Butterfree,1996,1,Normal,2,Bug,Flying,1.1,32.0,2,Compound Eyes,,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,178.0,50.0
13,Weedle,1996,1,Normal,2,Bug,Poison,0.3,3.2,2,Shield Dust,,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,39.0,50.0
14,Kakuna,1996,1,Normal,2,Bug,Poison,0.6,10.0,1,Shed Skin,,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,72.0,50.0
15,Beedrill,1996,1,Normal,2,Bug,Poison,1.0,29.5,2,Swarm,,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,178.0,50.0
15,Mega Beedrill,1996,1,Normal,2,Bug,Poison,1.4,40.5,1,Adaptability,,,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,223.0,50.0
16,Pidgey,1996,1,Normal,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,50.0,50.0
17,Pidgeotto,1996,1,Normal,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,122.0,50.0
18,Pidgeot,1996,1,Normal,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,216.0,50.0
18,Mega Pidgeot,1996,1,Normal,2,Normal,Flying,2.2,50.5,1,No Guard,,,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,261.0,50.0
19,Rattata,1996,1,Normal,1,Normal,,0.3,3.5,3,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,51.0,50.0
19,Alolan Rattata,1996,1,Normal,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,51.0,50.0
20,Raticate,1996,1,Normal,1,Normal,,0.7,18.5,3,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,145.0,50.0
20,Alolan Raticate,1996,1,Normal,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,145.0,50.0
21,Spearow,1996,1,Normal,2,Normal,Flying,0.3,2.0,2,Keen Eye,,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,52.0,50.0
22,Fearow,1996,1,Normal,2,Normal,Flying,1.2,38.0,2,Keen Eye,,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,155.0,50.0
23,Ekans,1996,1,Normal,1,Poison,,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,58.0,50.0
24,Arbok,1996,1,Normal,1,Poison,,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,157.0,50.0
25,Pikachu,1996,1,Normal,1,Electric,,0.4,6.0,2,Static,,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,112.0,50.0
25,Partner Pikachu,1996,1,Normal,1,Electric,,0.4,6.0,1,,,Lightning Rod,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,112.0,50.0
26,Raichu,1996,1,Normal,1,Electric,,0.8,30.0,2,Static,,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,218.0,50.0
26,Alolan Raichu,1996,1,Normal,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,,,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,218.0,50.0
27,Sandshrew,1996,1,Normal,1,Ground,,0.6,12.0,2,Sand Veil,,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,60.0,50.0
27,Alolan Sandshrew,1996,1,Normal,2,Ice,Steel,0.7,40.0,2,Snow Cloak,,Slush Rush,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,60.0,50.0
28,Sandslash,1996,1,Normal,1,Ground,,1.0,29.5,2,Sand Veil,,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,158.0,50.0
28,Alolan Sandslash,1996,1,Normal,2,Ice,Steel,1.2,55.0,2,Snow Cloak,,Slush Rush,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,158.0,50.0
29,Nidoran♀,1996,1,Normal,1,Poison,,0.4,7.0,3,Poison Point,Rivalry,Hustle,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,55.0,0.0
30,Nidorina,1996,1,Normal,1,Poison,,0.8,20.0,3,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,128.0,0.0
31,Nidoqueen,1996,1,Normal,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,227.0,0.0
32,Nidoran♂,1996,1,Normal,1,Poison,,0.5,9.0,3,Poison Point,Rivalry,Hustle,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,55.0,100.0
33,Nidorino,1996,1,Normal,1,Poison,,0.9,19.5,3,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,128.0,100.0
34,Nidoking,1996,1,Normal,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,227.0,100.0
35,Clefairy,1996,1,Normal,1,Fairy,,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,113.0,25.0
36,Clefable,1996,1,Normal,1,Fairy,,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,217.0,25.0
37,Vulpix,1996,1,Normal,1,Fire,,0.6,9.9,2,Flash Fire,,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,25.0
37,Alolan Vulpix,1996,1,Normal,1,Ice,,0.6,9.9,2,Snow Cloak,,Snow Warning,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,60.0,25.0
38,Ninetales,1996,1,Normal,1,Fire,,1.1,19.9,2,Flash Fire,,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,177.0,25.0
38,Alolan Ninetales,1996,1,Normal,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,,Snow Warning,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,177.0,25.0
39,Jigglypuff,1996,1,Normal,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,95.0,25.0
40,Wigglytuff,1996,1,Normal,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,196.0,25.0
